Date,Open,High,Low,Close,Adj Close,Volume,var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),previous-close,movement
2015-12-31,107.01,107.03,104.82,105.26,98.66,40912300,,,,,,,down
2016-01-04,102.61,105.37,102.0,105.35,98.74,67649400,,,,,105.26,105.26,up
2016-01-05,105.75,105.85,102.41,102.71,96.27,55791000,,,,105.26,105.35,105.35,down
2016-01-06,100.56,102.37,99.87,100.7,94.38,68457400,,,105.26,105.35,102.71,102.71,down
2016-01-07,98.68,100.13,96.43,96.45,90.4,81094400,,105.26,105.35,102.71,100.7,100.7,down
2016-01-08,98.55,99.11,96.76,96.96,90.88,70798000,105.26,105.35,102.71,100.7,96.45,96.45,up
2016-01-11,98.97,99.06,97.34,98.53,92.35,49739400,105.35,102.71,100.7,96.45,96.96,96.96,up
2016-01-12,100.55,100.69,98.84,99.96,93.69,49154200,102.71,100.7,96.45,96.96,98.53,98.53,up
2016-01-13,100.32,101.19,97.3,97.39,91.28,62439600,100.7,96.45,96.96,98.53,99.96,99.96,down
2016-01-14,97.96,100.48,95.74,99.52,93.28,63170100,96.45,96.96,98.53,99.96,97.39,97.39,up
2016-01-15,96.2,97.71,95.36,97.13,91.04,79833900,96.96,98.53,99.96,97.39,99.52,99.52,down
2016-01-19,98.41,98.65,95.5,96.66,90.6,53087700,98.53,99.96,97.39,99.52,97.13,97.13,down
2016-01-20,95.1,98.19,93.42,96.79,90.72,72334400,99.96,97.39,99.52,97.13,96.66,96.66,up
2016-01-21,97.06,97.88,94.94,96.3,90.26,52161500,97.39,99.52,97.13,96.66,96.79,96.79,down
2016-01-22,98.63,101.46,98.37,101.42,95.06,65800500,99.52,97.13,96.66,96.79,96.3,96.3,up
2016-01-25,101.52,101.53,99.21,99.44,93.2,51794500,97.13,96.66,96.79,96.3,101.42,101.42,down
2016-01-26,99.93,100.88,98.07,99.99,93.72,75077000,96.66,96.79,96.3,101.42,99.44,99.44,up
2016-01-27,96.04,96.63,93.34,93.42,87.56,133369700,96.79,96.3,101.42,99.44,99.99,99.99,down
2016-01-28,93.79,94.52,92.39,94.09,88.19,55678800,96.3,101.42,99.44,99.99,93.42,93.42,up
2016-01-29,94.79,97.34,94.35,97.34,91.23,64416500,101.42,99.44,99.99,93.42,94.09,94.09,up
2016-02-01,96.47,96.71,95.4,96.43,90.38,40943500,99.44,99.99,93.42,94.09,97.34,97.34,down
2016-02-02,95.42,96.04,94.28,94.48,88.55,37357200,99.99,93.42,94.09,97.34,96.43,96.43,down
2016-02-03,95.0,96.84,94.08,96.35,90.31,45964300,93.42,94.09,97.34,96.43,94.48,94.48,up
2016-02-04,95.86,97.33,95.19,96.6,91.03,46471700,94.09,97.34,96.43,94.48,96.35,96.35,up
2016-02-05,96.52,96.92,93.69,94.02,88.6,46418100,97.34,96.43,94.48,96.35,96.6,96.6,down
2016-02-08,93.13,95.7,93.04,95.01,89.53,54021400,96.43,94.48,96.35,96.6,94.02,94.02,up
2016-02-09,94.29,95.94,93.93,94.99,89.52,44331200,94.48,96.35,96.6,94.02,95.01,95.01,down
2016-02-10,95.92,96.35,94.1,94.27,88.84,42343600,96.35,96.6,94.02,95.01,94.99,94.99,down
2016-02-11,93.79,94.72,92.59,93.7,88.3,50074700,96.6,94.02,95.01,94.99,94.27,94.27,down
2016-02-12,94.19,94.5,93.01,93.99,88.57,40351400,94.02,95.01,94.99,94.27,93.7,93.7,up
2016-02-16,95.02,96.85,94.61,96.64,91.07,49057900,95.01,94.99,94.27,93.7,93.99,93.99,up
2016-02-17,96.67,98.21,96.15,98.12,92.46,44863200,94.99,94.27,93.7,93.99,96.64,96.64,up
2016-02-18,98.84,98.89,96.09,96.26,90.71,39021000,94.27,93.7,93.99,96.64,98.12,98.12,down
2016-02-19,96.0,96.76,95.8,96.04,90.5,35374200,93.7,93.99,96.64,98.12,96.26,96.26,down
2016-02-22,96.31,96.9,95.92,96.88,91.3,34280800,93.99,96.64,98.12,96.26,96.04,96.04,up
2016-02-23,96.4,96.5,94.55,94.69,89.23,31942600,96.64,98.12,96.26,96.04,96.88,96.88,down
2016-02-24,93.98,96.38,93.32,96.1,90.56,36255700,98.12,96.26,96.04,96.88,94.69,94.69,up
2016-02-25,96.05,96.76,95.25,96.76,91.18,27582700,96.26,96.04,96.88,94.69,96.1,96.1,up
2016-02-26,97.2,98.02,96.58,96.91,91.32,28991100,96.04,96.88,94.69,96.1,96.76,96.76,up
2016-02-29,96.86,98.23,96.65,96.69,91.12,35216300,96.88,94.69,96.1,96.76,96.91,96.91,down
2016-03-01,97.65,100.77,97.42,100.53,94.74,50407100,94.69,96.1,96.76,96.91,96.69,96.69,up
2016-03-02,100.51,100.89,99.64,100.75,94.94,33169600,96.1,96.76,96.91,96.69,100.53,100.53,up
2016-03-03,100.58,101.71,100.45,101.5,95.65,36955700,96.76,96.91,96.69,100.53,100.75,100.75,up
2016-03-04,102.37,103.75,101.37,103.01,97.07,46055100,96.91,96.69,100.53,100.75,101.5,101.5,up
2016-03-07,102.39,102.83,100.96,101.87,96.0,35828900,96.69,100.53,100.75,101.5,103.01,103.01,down
